docking_score,smile
-6.2,CCOc1ccccc1C(=O)Nc1nc2ccc(Cl)cc2s1
-5.8,CCOc1ccc(C(=O)Nc2ccc(C(C)C)cc2)cc1
-5.4,O=C(NC1CCCCCC1)c1ccc(Br)o1
-6.4,COc1ccccc1C(=O)Nc1sc2c(c1C(N)=O)CC[C@@H](C)C2
-6.2,CC[C@H](C(=O)Nc1cccc(NC(=O)C)c1)c1ccccc1
-5.9,COc1cc(C=O)ccc1OCc1ccccc1
-5.0,CCOc1cc(C=O)ccc1OC(=O)C1CC1
-5.0,COc1cc(C=O)ccc1OCCC(C)C
-5.7,Nc1nc(-c2ccc(-c3n[nH]c(N)n3)cc2)n[nH]1
-6.1,O=c1oc(c2ccncc2)nc2sc3c(c12)CCCCC3
-6.4,CC(=O)Nc1ccc(C2=N/C(=C/c3ccc(C)cc3)C(=O)O2)cc1
-6.7,Cc1ccc(C(=O)N/C(=C/c2ccccc2F)C(=O)N(C)C)cc1
-5.8,CCc1ccc(OC[C@H](O)CN2CCCC2)cc1
-5.5,CCCc1ccc(OC[C@@H](O)CN2CCCC2)cc1
-6.0,COc1ccc([C@H](C)NC(=O)c2ccc(C(C)(C)C)cc2)cc1
-5.5,O=C(Nc1cccc(Cl)c1)c1ccccc1Cl
-6.7,O=C(NCc1ccccc1F)C(c1ccccc1)c1ccccc1
-6.3,Cc1ccc(Cl)cc1NC(=O)CSc1nc2ccccc2s1
-6.9,C[C@@H](Oc1ccccc1Br)C(=O)N1CCc2ccccc12
-5.8,Cc1oc(CC(C)C)cc1C(=O)Nc1ccccc1C(=O)O
-5.7,O=C(Cn1cncc1-c1ccc([N+](=O)[O-])cc1)N1CCOCC1
-6.7,C[C@H](c1ccccc1)N1C(=O)c2ccccc2[C@]1(O)Cc1ccccc1
-5.6,CN1C(=O)C[C@H](N2CCN(C(=O)CN3CCCC3)CC2)C1=O
